Judul,Waktu,Link,Content,tag1,tag2,tag3,tag4,tag5,source,Kategori
MA Tolak PK Surya Darmadi Dalam Kasus Penyerobotan Lahan,27 September 2024,https://nasional.kompas.com/read/2024/09/27/18023161/ma-tolak-pk-surya-darmadi-dalam-kasus-penyerobotan-lahan," JAKARTA, KOMPAS.com - Mahkamah Agung (MA) menolak Peninjauan Kembali (PK) yang diajukan terpidana korupsi penyerobotan lahan di Kabupaten Indragiri Hulu (Inhu), Riau, Surya Darmadi. PK bos PT Duta Palma Group itu teregister dengan Nomor Perkara 1277 PK/Pid.Sus/2024 yang diajukan kuasa hukumnya, Maqdir Ismail. ""Tolak,"" demikian bunyi amar putusan sebagaimana dikutip Kompas.com dari situs Kepaniteraan Mahkamah Agung RI, Jumat (27/9/2024). Permohonan PK Surya Darmadi teregister pada 26 Juli lalu dan diputus pada 19 Juli. PK ini dihadiri oleh Hakim Agung Suharto selaku ketua Majelis Hakim serta dua hakim anggota Ansori dan Noor Edi Yono. Sebelum mengajukan PK, hukuman Surya Darmadi diperberat Mahkamah Agung di tingkat kasasi. Mahkamah Agung menjatuhkan pidana badan terhadap Surya Darmadi dari 15 tahun penjara menjadi 16 tahun penjara. Putusan diketuk Ketua Majelis Kasasi Dwiarso Budi Santiarto dengan anggota Sinintha Yuliansih Sibarani dan Yohanes Priyana pada Kamis 14 September 2023. Selain memperberat hukuman badan, bos PT Duta Palma Group juga dijatuhi pidana denda Rp 1 miliar subsidair enam bulan kurungan. Di sisi lain, MA mengurangi uang pengganti yang harus dibayarkan Surya Darmadi dari Rp 41,9 triliun menjadi Rp 2,2 triliun. Dalam sidang di Pengadilan Tindak Pidana Korupsi (Tipikor) Jakarta Pusat, Surya Darmadi terbukti bersalah melakukan tindak pidana pidana korupsi terkait penyerobotan lahan di Kabupaten Indragiri Hulu. Saat itu, Pengusaha bisnis sawit itu dijatuhi pidana badan selama 15 yahun penjara dan dihukum untuk membayar uang pengganti Rp 41,989 triliun. “Menjatuhkan pidana tambahan pembayaran uang pengganti sebesar Rp 2,238 triliun dan membayar kerugian perekonomian negara Rp 39,7 triliun,” kata Ketua Majelis Hakim Fahzal Hendri saat membacakan putusannya, Kamis 23 Februari 2023. Dalam perkara ini, Surya Darmadi dinyatakan terbukti bersalah melakukan perbuatan melawan hukum dan menimbulkan kerugian keuangan negara dan perekonomian negara. Selain itu, Surya Darmadi juga dinyatakan bersalah melakukan tindak pidana pencucian uang (TPPU) sebagaimana dakwaan ketiga primair.",Mahkamah Agung,peninjauan kembali,Surya Darmadi,,,kompas,Teknologi
"Retreat Kepala Daerah Gelombang Kedua Dimulai Hari Ini, Apa Persamaan dan Perbedaannya dengan Sebelumnya?",22 Juni 2025,https://nasional.kompas.com/read/2025/06/22/06361081/retreat-kepala-daerah-gelombang-kedua-dimulai-hari-ini-apa-persamaan-dan," JAKARTA, KOMPAS.com - Retreat kepala daerah gelombang kedua akan digelar mulai hari ini, Minggu (22/6/2025) hingga Kamis (26/6/2025). Retreat gelombang kedua akan diikuti oleh 87 kepala daerah. Mulai dari gubernur, wakil gubernur, bupati, wakil bupati, walikota, dan wakil walikota. Mereka akan digembleng di Institut Pemerintahan Dalam Negeri (IPDN), Jatinangor, Jawa Barat. Ada beragam kesamaan dalam retreat gelombang pertama yang diselenggarakan di Akademi Militer, Magelang, Jawa Tengah pada Februari 2025. Namun, terdapat juga beberapa perbedaan yang akan disesuaikan, mengingat saat ini retreat diselenggarakan di IPDN. Berikut serba-serbi retreat kepala daerah yang akan dimulai hari ini: Retreat kepala daerah akan diawali oleh apel penyambutan yang dipimpin langsung oleh Sekretaris Jenderal Kementerian Dalam Negeri RI, Tomsi Tohir, di Plaza Kemendagri, Jakarta Pusat. Para kepala daerah ini kemudian bergerak menuju Stasiun Kereta Cepat Halim Perdana Kusuma, Jakarta Timur, menuju Jatinangor. Wakil Menteri Dalam Negeri, Bima Arya, mengatakan, para kepala daerah ini nantinya akan disambut oleh drum band dari Praja IPDN. Sambutan ini sama seperti yang dilakukan di Akademi Militer Magelang. ""Sama seperti di Akmil di Magelang, nanti para peserta akan disambut dengan megah dengan drum band kebanggaan IPDN dan para praja,"" imbuhnya saat ditemui di IPDN Jatinangor, Kamis (19/6/2025). Bima juga menjelaskan, tidak ada perbedaan materi yang akan diberikan kepada peserta retreat. ""Materinya sama, substansinya sama. Satu pemahaman umum tentang tugas-tugas kepala daerah. Yang kedua, program prioritas,"" ucapnya. Selain itu, ada beberapa materi tambahan seperti strategi pemberantasan korupsi dan prinsip kolaborasi antar-kepala daerah. ""Kalau kita evaluasi hasil retreat gelombang pertama, maka semua akan menyampaikan hal yang sama bahwa yang sangat penting didapat dari retreat gelombang pertama adalah proses untuk lebih mengenal lagi sehingga bisa bersinergi di lapangan,"" ucapnya.",ipdn,kepala daerah,retreat,Institut Pemerintahan Dalam Negeri,Bima Arya,kompas,Daerah
Anggota DPRD DKI Kenneth Usulkan Calon Petugas PPSU Wajib Ber-KTP Jakarta,"Selasa, 08 Apr 2025 23:11 WIB",https://news.detik.com/berita/d-7860065/anggota-dprd-dki-kenneth-usulkan-calon-petugas-ppsu-wajib-ber-ktp-jakarta,"Gubernur Daerah Khusus Jakarta (DKJ), Pramono Anung Wibowo mengatakan telah menandatangani Peraturan Gubernur (Pergub) terkait persyaratan kerja untuk menjadi Petugas Penanganan Prasarana dan Sarana Umum (PPSU). Dalam Pergub tersebut, Pramono melonggarkan syarat menjadi pasukan oranye julukan lain dari Petugas PPSU. Ia berkata, syarat untuk menjadi PPSU kini hanya tamatan Sekolah Dasar (SD). Sebelumnya, Pergub terbaru mengenai PPSU di Jakarta adalah Pergub Nomor 63 Tahun 2022. Pergub ini mencabut beberapa peraturan sebelumnya, termasuk Pergub Nomor 7 Tahun 2017 tentang Penanganan Prasarana dan Sarana Umum Tingkat Kelurahan. Selain itu, pada Februari 2025, Gubernur Pramono Anung mengumumkan rencana untuk mengubah persyaratan rekrutmen PPSU. Perubahan tersebut akan menurunkan batasan pendidikan dari Sekolah Lanjutan Tingkat Atas (SLTA) menjadi Sekolah Dasar (SD), dengan kriteria utama calon petugas adalah kemampuan membaca dan menulis.  Anggota DPRD DKI Jakarta dari Fraksi PDI Perjuangan, Hardiyanto Kenneth mengapresiasi 3 point penting dalam Pergub tentang PPSU ini, yakni syarat menjadi anggota PPSU ijazah minimal SD, usia bisa sampai 55-58 tahun, dan kontraknya minimal 3 tahun. Namun, menurutnya, syarat lain menjadi pasukan oranye adalah Warga Jakarta dan wajib harus mempunyai Kartu Tanda Penduduk (KTP) Jakarta. ""Saya sangat mengapresiasi langkah Gubernur Pramono Anung Wibowo yang telah melonggarkan persyaratan untuk menjadi anggota pasukan oranye, seperti minimal ijazah SD dan usia bisa 55 hingga 58 tahun. Namun, menurut saya untuk melamar menjadi anggota oranye wajib mempunyai KTP Jakarta, dan kesempatan bekerja ini harus diprioritaskan bagi warga Jakarta yang memiliki KTP Jakarta, karena berdasarkan temuan dari data yang saya punya, proses penerimaan Petugas PPSU di kelurahan di tahun-tahun sebelumnya banyak sekali yang masih berKTP daerah yang di terima bekerja, sehingga bisa mengurangi peluang bagi Warga Jakarta untuk bisa bekerja menjadi Petugas PPSU. Kurangnya syarat formil terkait wajib mempunyai KTP DKI Jakarta dalam proses rekrutmen Petugas PPSU ini bisa membuka celah, sehingga membuat oknum pejabat penerimaan Petugas PPSU ini secara sporadis menerima Petugas PPSU yang masih berKTP Daerah, tanpa mempertimbangkan bahwa Warga Jakarta masih banyak sekali yang menganggur dan masih membutuhkan pekerjaan. ini poin yang sangat penting sekali menurut saya yang harus di perhatikan oleh Pak Gubernur Pramono Anung Wibowo, "" kata Anggota Komisi C DPRD DKI Jakarta tersebut dalam keterangannya, Selasa (8/4/2025). Pria yang akrab di sapa Bang Kent ini pun meyakini, jika Pergub tentang PPSU ini merupakan terobosan yang sangat baik bagi masyarakat Jakarta untuk mendapatkan peluang pekerjaan. Syarat yang memudahkan menjadi anggota PPSU, merupakan kesadaran ideologis dari Gubernur DKI Pramono Anung Wibowo terhadap persoalan susahnya mendapatkan pekerjaan di Jakarta dan permasalahan sampah serta kebersihan lingkungan Jakarta yang padat. ""Saya yakin bahwa terobosan Mas Pram ini memang sekonyong-konyong bertujuan untuk mempermudah Masyarakat Jakarta yang ingin mendapatkan pekerjaan melamar sebagai petugas PPSU, dengan hanya berfokus pada kemampuan dasar dan kemauan bekerja keras. Saya berharap dengan rekrutmen anggota PPSU ini dapat membuka peluang pekerjaan serta melibatkan masyarakat lokal yang memiliki komitmen untuk menjaga kebersihan, dan kelancaran prasarana di wilayah mereka,"" beber Kepala Badan Penanggulangan Bencana (BAGUNA) DPD PDI Perjuangan Jakarta itu. Namun, Kent menegaskan, proses rekrutmen anggota PPSU di jamin harus bebas pungutan liar (pungli). Hal ini sesuai dengan kebijakan pemerintah yang menekankan bahwa rekrutmen untuk pekerjaan di sektor publik, termasuk PPSU, tidak boleh ada biaya tambahan atau pungutan yang tidak sah. ""Untuk memastikan rekrutmen PPSU berjalan dengan transparan dan adil, pemerintah, khususnya di tingkat kelurahan atau kecamatan, diharapkan bisa menjaga proses ini agar bebas dari praktik pungli. Jika ada indikasi pungli dalam proses rekrutmen, pelamar atau masyarakat diharapkan untuk segera melaporkannya kepada pihak berwenang, seperti pihak kelurahan, kecamatan, melalui kanal pengaduan pemerintah yang tersedia atau bisa melaporkan kepada saya sendiri melalui media sosial instagram @kennethhardiyanto dan di harus di sertai dengan buktI-bukti yang akurat,"" tegas Ketua IKAL PPRA LXII Lemhannas RI ini. Menurut Kent, Pemerintah sering mengingatkan bahwa segala jenis pungutan liar atau biaya yang tidak sah selama proses rekrutmen PPSU adalah ilegal dan bisa berakibat sanksi hukum bagi pelaku. Rekrutmen yang adil dan transparan merupakan bagian dari upaya untuk memastikan bahwa kesempatan kerja dapat diakses oleh semua Warga Jakarta tanpa hambatan atau biaya tambahan yang tidak perlu. ""Saya berharap rekrutmen anggota PPSU ini dapat dilakukan secara transparan, bebas pungli, dan adil. Pemerintah tingkat kelurahan harus bisa memimpin dalam memastikan proses ini berjalan dengan baik agar masyarakat merasa aman dan dihargai,"" bebernya. Kent pun meminta anggota PPSU memiliki sejumlah kualitas yang sangat penting dan harus mempunyai etos kerja yang baik, mengingat tugasnya yang langsung berkaitan dengan kebersihan, pemeliharaan fasilitas umum, dan kenyamanan lingkungan sekitar. ""Anggota PPSU tidak hanya wajib menjalankan tugas mereka dengan baik, tetapi juga harus menciptakan dampak positif dalam menjaga kebersihan dan kenyamanan lingkungan, serta meningkatkan kualitas hidup masyarakat sekitar,"" tutupnya.",pramono anung,ppsu,dprd dki,,,detik,Politik
Bahlil Klaim Banyak Aspirasi Minta Jokowi Jadi Kader Golkar,7 November 2024,https://nasional.kompas.com/read/2024/11/07/19303931/bahlil-klaim-banyak-aspirasi-minta-jokowi-jadi-kader-golkar," JAKARTA, KOMPAS.com - Ketua Umum (Ketum) Partai Golkar Bahlil Lahadalia mengeklaim banyak kadernya yang memberi aspirasi agar Presiden ke-7 RI Joko Widodo (Jokowi) bergabung menjadi kader Partai Pohon Beringin. ""Kalau itu aspirasi banyak,"" kata Bahlil di Kantor DPP Partai Golkar, Jakarta Barat, Kamis (7/11/2024). Menteri ESDM itu mengatakan bahwa Jokowi merupakan tokoh bangsa. Akan tetapi, menurutnya, tidak semua aspirasi bisa diterima, termasuk menjadikan Jokowi kader Partai Golkar. Nama Jokowi pun tak ada dalam daftar kepengurusan Partai Golkar yang dibacakan Bahlil hari ini. ""Pak Presiden ini kan Bapak Presiden yang ketujuh ini kan pasti punya pertimbangan-pertimbangan. Tidak semua aspirasi kan bisa diterima,"" ucap Bahlil. Bahlil menekankan bahwa Golkar adalah partai terbuka yang menerima siapa pun yang ingin menjadi bergabung masuk partainya Bahlil juga mencontohkan dirinya yang merupakan keturunan suku Papua, tetapi kini bisa memimpin Partai Golkar. ""Jadi siapa saja karena Golkar ini kan inklusif. Tidak mengenal suku. Tidak mengenal agama. Tidak mengenal asal dari mana. Selama dia warga negara Indonesia yang sudah berusaha dengan senang hati kalau mau jadi kader Partai Golkar,"" ujar Bahlil. Sebagai informasi, isu Jokowi akan merapat ke Golkar sudah lama beredar. Isu ini santer muncul di awal 2024 dan kembali menguat di tengah-tengah pelaksanaan Musyawarah Nasional (Munas) XI Golkar, pertengahan Agustus lalu. Pada Munas XI Golkar, politikus Partai Golkar Ali Mochtar Ngabalin mengungkapkan, ada aspirasi untuk menjadikan Presiden Joko Widodo sebagai Ketua Dewan Pembina Partai Golkar tahun 2024-2029. Aspirasi itu, kata Ali Ngabalin, berkembang dari para pengurus Golkar di tingkat daerah. Saat itu, Jokowi diusulkan menjadi Ketua Dewan Pembina Partai Golkar. ""Di forum ini juga ya, iya ini sekarang yang aspirasi sedang terus berkembang dan baik dari daerah-daerah yang ada di forum Munas ini adalah meminta kesediaan Bapak Jokowi menjadi Ketua Dewan Pembina Partai Golkar untuk 2024-2029,"" ujar Ngabalin di Jakarta Convention Center, Selasa (20/8/2024) malam. ""Setuju belum setuju, urusan belakang itu,"" kata dia.",Jokowi,Bahlil Lahadalia,Jokowi golkar,,,kompas,Politik
Gibran Dapat Wejangan dari Jokowi Saat Momen Lebaran,"Selasa, 01 Apr 2025 20:50 WIB",https://news.detik.com/berita/d-7851458/gibran-dapat-wejangan-dari-jokowi-saat-momen-lebaran,"Wakil Presiden, Gibran Rakabuming Raka berkunjung ke kediaman ayahnya yang merupakan Presiden ke-7 RI Joko Widodo (Jokowi) di Solo, Jawa Tengah (Jateng) pada hari kedua Lebaran. Gibran mengungkapkan diberi wejangan oleh Jokowi. Gibran dan keluarga sempat berkumpul di rumah Jokowi di Jalan Kutai Utara selasa (1/4/2025) siang. Tak hanya Gibran, ada juga Kaesang Pangarep bersama keluarga yang turut hadir di sana. ""Ya ada beberapa masukan,"" kata Gibran saat ditemui di Jalan Slamet Riyadi, Solo, Gibran menjawab pertanyaan apakah ada wejangan dari Jokowi saat momen Lebaran ini dilansir detikJateng, Selasa (1/4/2025).  Gibran enggan membeberkan wejangan dari Jokowi. Dia meminta untuk menunggu besok. ""Ya nanti aja yok, yok udah, udah besok lagi,"" tuturnya. Mantan Wali Kota Solo itu mengatakan tidak banyak hal yang ia obrolkan dengan Jokowi. Ia mengaku banyak bertemu dengan pakde hingga budenya. ""Nggak ngobrol apa-apa, orang banyak orang, yang ngobrol malah Pak Wali (Respati Ardi), saya nggak ngobrol. Saya ketemu pakde-pakde dan bude-bude yang lain,"" tutur Gibran. Baca selengkapnya di sini.",gibran,wapres gibran,gibran rakabuming,jokowi,,detik,Politik
Atnike Nova Sigiro: Penegakan HAM Tak Bisa Didasari Manuver Politik,17 November 2024 | 08.30 WIB,https://www.tempo.co/wawancara/penegakan-ham-prabowo-subianto-1168695,"Baca berita dengan sedikit iklan,  klik di sini   Ringkasan Berita  Komnas HAM mengirim rekomendasi isu hak asasi manusia kepada Prabowo Subianto. Ada upaya merevisi undang-undang mengenai hak asasi manusia, salah satunya menghilangkan konsep terstruktur dalam pelanggaran hak asasi. Konflik di Papua mesti diselesaikan dengan pendekatan yang utuh. URUSAN hak asasi manusia pada era Presiden Prabowo Subianto cemong sejak pemerintahan baru berumur beberapa hari. Sehari setelah pelantikan, 21 Oktober 2024, Yusril Ihza Mahendra, guru besar hukum tata negara yang ditunjuk menjadi Menteri Koordinator Hukum, Hak Asasi Manusia, Imigrasi, dan Pemasyarakatan, mengatakan peristiwa 1998 bukan pelanggaran hak asasi berat.",hak-asasi-manusia,prabowo-subianto,komnas-ham,atnike-nova-sigiro,pengadilan-hak-asasi-manusia,tempo,Humaniora
Kata Fitra Eri soal Dipanggil Kejagung Terkait Kasus Tata Kelola Minyak,"Rabu, 05 Mar 2025 22:55 WIB",https://news.detik.com/berita/d-7809030/kata-fitra-eri-soal-dipanggil-kejagung-terkait-kasus-tata-kelola-minyak,"Kejaksaan Agung (Kejagung) memeriksa pebalap, Fitra Eri Purwotomo, dalam kasus dugaan korupsi tata kelola minyak mentah dan produk kilang pada PT Pertamina, sub-holding dan kontraktor kontrak kerja sama pada periode 2018-2023. Fitra diperiksa dalam kapasitasnya sebagai saksi. ""Ya benar, saya dipanggil sebagai saksi,"" kata Fitra saat dimintai konfirmasi, Rabu (5/3/2025). Dia mengaku diperiksa selama kuramg lebih dua jam oleh penyidik pada Jampidsus Kejagung. Dia menyatakan ditanyai mengeni keahliannya di bidang otomotif.  ""Seputar BBM dan pengaruhnya ke mesin mobil, pertanyaan teknis umum,"" ucapnya. Fitra menyebut, pada pemeriksaan hari ini tak ada pertanyaan yang menyangkut dugaan korupsi kasus tersebut. Dia juga memastikan tak kenal secara pribadi dengan para tersangka. ""Tidak ditanya tentang itu (pertanyaan soal korupsi). Saya tidak kenal dengan semua tersangka,"" tegasnya. Sebelumnya, Kapuspenkum Kejagung Harli Siregar menyebut terdapat delapan orang yang diperiksa terkait kasus tata kelola minyak dan produk kilang hari ini, termasuk Fitra Eri. Mereka diperiksa dalam kapasitasnya sebagai saksi. ""Rabu 5 Maret 2025, Kejaksaan Agung melalui Tim Jaksa Penyidik pada Direktorat Penyidikan Jaksa Agung Muda Bidang Tindak Pidana Khusus memeriksa delapan orang saksi,"" kata Harli lewat keterangannya, Rabu (5/3). 8 saksi yang diperiksa Kejagung hari ini yaitu: 1. MP selaku Direktur Pembinaan Usaha Hilir pada Ditjen Migas Kementerian Energi dan Sumber Daya Mineral (ESDM);2. ARH selaku Sub Koordinator Harga Bahan Bakar Minyak pada Ditjen Migas Kementerian ESDM;3. DM selaku Kepala Divisi Akuntansi SKK Migas;4. CMS selaku Koordinator Subsidi Bahan Bakar Minyak dan Gas Bumi pada Ditjen Migas Kementerian ESDM;5. AA selaku Manager QMS PT Pertamina (Persero);6. ESJ selaku Staf Analyst Planning PT Pertamina Hulu Rokan;7. ES selaku VP Procurement and Contracting PT Pertamina Hulu Rokan WK Rokan;8. FEP selaku influencer otomotif; Namun demikian, Harli belum merinci lebih jauh mengenai alasan pemeriksaan terhadap Fitra maupun saksi lainnya. Begitupula tentang materi pemeriksaan yang dicecar penyidik kepada para saksi. Dia hanya menyebut para saksi diperiksa untuk memperkuat pembuktian serta melengkapi berkas perkara. ""Adapun delapan orang saksi tersebut diperiksa terkait dengan perkara dugaan tindak pidana korupsi dalam tata kelola minyak mentah dan produk kilang pada PT Pertamina (Persero), Sub Holding dan Kontraktor Kontrak Kerjasama (KKKS) tahun 2018 sampai dengan 2023 atas nama tersangka YF dkk,"" imbuh Harli.  Simak juga Video 'Dirut Pertamina Pastikan Kualitas BBM Sesuai Standar Spesifikasi': [Gambas:Video 20detik]",kejagung,korupsi tata kelola minyak,fitra eri,hukum,jampidsus kejagung,detik,Hukum & Kriminal
Perjalanan Toleransi dalam Naskah Tua,8 September 2024 | 00.00 WIB,https://www.tempo.co/arsip/perjalanan-toleransi-indonesia-457171,"Baca berita dengan sedikit iklan,  klik di sini   Ringkasan Berita  Sebanyak 16 naskah kuno peradaban Nusantara dipamerkan dalam Festival Toleransi 2024. Toleransi sudah tumbuh subur di Indonesia, jauh sebelum negara republik berdiri. Pedoman toleransi di Indonesia bukan hanya Bhinneka Tunggal Ika. STEVIA Salim mematung di depan kotak kaca berukuran sekitar 120 x 120 sentimeter yang ditata apik di salah satu gedung di Galeri Nasional, Gambir, Jakarta Pusat, Selasa, 3 September 2024. Selama hampir lima menit tubuhnya bersandar pada kotak kaca yang ditopang empat kaki meja itu.",toleransi,toleransi-beragama,toleransi-anak-muda,anak-muda,toleransi-antar-umat-beragama,tempo,Internasional
Penggabungan Banyak Kluster dalam Satu PP Kesehatan Dinilai Akan Timbulkan Masalah,4 Agustus 2024,https://nasional.kompas.com/read/2024/08/04/07405711/penggabungan-banyak-kluster-dalam-satu-pp-kesehatan-dinilai-akan-timbulkan," JAKARTA, KOMPAS.com - Masyarakat Hukum Kesehatan Indonesia (MHKI) menilai keputusan pemerintah yang hanya menerbitkan satu aturan turunan Undang-Undang (UU) Nomor 17 Tahun 2023 tentang Kesehatan bisa menimbulkan masalah dalam waktu ke depan. Ketua Umum MHKI Mahesa Pranadipa mengatakan, kebijakan pemerintah yang menggabungkan semua kluster UU Kesehatan baru dalam  Peraturan Pemerintah (PP) Nomor 28 Tahun 2024 menuai pro dan kontra. “Dengan menggabungkan seluruh kluster di dalam satu PP akan menimbulkan kesulitan ke depan jika terdapat substansi yang harus direvisi,"" kata Mahesa dalam keterangan tertulis yang diterima Kompas.com, Minggu (4/8/2024). “Mengingat peraturan turunan dapat bertentangan dengan aturan yang lebih tinggi, maka revisi atau perbaikan merupakan keniscayaan, karena ini bertujuan untuk mempertahankan supremasi hukum,” sambungnya. Menurut Mahesa, dalam UU Kesehatan baru terdapat 100 isu yang seharusnya diatur dalam aturan pelaksana. Biasanya, PP disusun  mengacu pada kluster isu dengan melibatkan stakeholder terkait. Namun, ia melihat dalam PP Nomor 28 Tahun 2024, diatur berbagai kluster isu kesehatan. Hal ini dinilai bisa menimbulkan persoalan ketika suatu hari revisi perlu dilakukan. Tidak hanya itu, ia juga menyoroti persoalan sedikitnya para pihak terkait yang dilibatkan dalam penyusunan PP. “Minimnya keterlibatan stakeholder dalam penyusunan PP, akan berpotensi menimbulkan polemik,” ucap Mahesa. Selain persoalan penggabungan kluster, banyak pasal dalam PP Nomor 28 Tahun 2024 yang menjadi perhatian masyarakat. Di antaranya adalah aturan yang bersinggungan dengan industri. Kemudian, persoalan susu formula, donor ASI, dan dokter asing juga tidak luput dari sorotan publik. Mahesa menyebut, pengkajian terhadap seluruh isi PP itu juga membutuhkan waktu. Di sisi lain, tidak terdapat aturan yang sempurna dan harus diperbaiki jika memicu permasalahan di masyarakat. “Terbukti banyak uji materi terhadap produk regulasi yang diuji di Mahkamah Konstitusi maupun Mahkamah Agung. Banyak yurisprudensi regulasi yang direvisi atau dibatalkan. Jika banyak polemik maka perlu perbaikan"" ujar Mahesa. Sebelumnya, pemerintah menerbitkan PP nomor 28 Tahun 2024 tentang pelaksanaan UU Nomor 17 Tahun 2024 tentang Kesehatan. Sejumlah ketentuan dalam aturan pelaksana itu menjadi sorotan seperti, surat tanda registrasi (STR) tenaga medis dan tenaga kesehatan seumur hidup. Ketentuan lain yang menjadi sorotan adalah larangan diskon susu formula hingga larangan penjualan rokok eceran.",UU Kesehatan,rpp uu kesehatan,Pasal Zat Adiktif RPP Kesehatan,larangan iklan rokok di RPP Kesehatan,PP kesehatan,kompas,Kesehatan
Ombudsman Sebut Sistem Zonasi PPDB Diperlukan untuk Pemerataan Pendidikan,24 November 2024,https://nasional.kompas.com/read/2024/11/24/16301851/ombudsman-sebut-sistem-zonasi-ppdb-diperlukan-untuk-pemerataan-pendidikan," JAKARTA, KOMPAS.com – Ombudsman RI menilai, sistem zonasi masih sangat relevan diberlakukan untuk mendorong pemerataan kualitas dan fasilitas pendidikan. Hal ini disampaikan Anggota Ombudsman RI, Indraza Marzuki Rais menanggapi wacana penghapusan sistem zonasi dalam Penerimaan Peserta Didik Baru (PPDB). Wacana penghapusan sistem zonasi ini terus mencuat, khususnya setelah instruksi untuk melakukan itu datang dari Wakil Presiden Gibran Rakabuming Raka. “Sistem zonasi yang diterapkan 2017 adalah salah satu rekomendasi dari Ombudsman. Sistem ini dilatarbelakangi ketimpangan dalam sebaran dan kualitas satuan pendidikan,” kata Indraza dalam keterangan tertulis, Minggu (24/11/2024). “PPDB tidak hanya menyasar kota besar, tetapi juga daerah yang masih memiliki tantangan besar dalam mengakses pelayanan pendidikan, seperti daerah 3T (tertinggal, terdepan, terluar),” ucapnya. Indraza berpandangan, isu penghapusan zonasi perlu direspons oleh Ombusdman lantaran wacana ini kembali mencuat dari sejumlah pernyataan para pejabat pemerintahan. Ia pun menjelaskan bahwa tujuan dari PPDB adalah menciptakan sistem pendidikan yang inklusif dan memastikan setiap warga negara dapat mengakses pelayanan pendidikan yang adil dan merata. Dalam kesempatan ini, Indraza mengurai sejumlah masalah utama dalam pendidikan dasar dan menengah. Misalnya, ketimpangan kualitas dan persebaran satuan pendidikan dan belum seragamnya penerapan standar pelayanan pendidikan. Selain itu, pemetaan sebaran satuan pendidikan, daya tampung, dan calon peserta didik juga belum optimalnya serta minimnya koordinasi lintas instansi juga harus menjadi perhatian. Tak hanya itu, Ombudsman juga menyoroti dampak negatif jika sistem zonasi dihapuskan, yaitu munculnya kembali fenomena “sekolah favorit” yang akan memperparah ketimpangan kualitas kualitas pendidikan. “Sekolah favorit mungkin menguntungkan bagi sebagian pihak, tetapi penghapusan zonasi akan membuat ketimpangan ini menjadi masalah sistemik yang terus berlanjut,” kata Indraza. Sebelumnya, Wakil Presiden (Wapres) Gibran Rakabuming Raka menyatakan, dirinya sudah meminta Menteri Pendidikan Dasar dan Menengah Abdul Mu’ti untuk menghapus sistem zonasi pada PPDB. Pernyataan ini disampaikan Gibran saat memberi arahan dalam acara Pembukaan Tanwir I Pengurus Pusat (PP) Pemuda Muhammadiyah. Mulanya, Wapres menyinggung arahan kepada para Kepala Dinas di seluruh Indonesia saat Rapat Koordinasi Evaluasi Kebijakan Pendidikan Dasar dan Menengah yang digelar di Jakarta Selatan, Senin 11 November 2024. Dalam acara itu, Gibran langsung meminta Abdul Mu’ti yang juga Sekretaris Umum (Sekum) PP Muhammadiyah untuk menghapus sistem zonasi pada PPDB.",sistem zonasi PPDB SMA,sistem zonasi,apa itu sistem zonasi,tujuan sistem zonasi,PPDB zonasi dihapus,kompas,Ekonomi
